Mouse Óptico USB,29.90,100
Teclado Mecânico RGB,129.90,50
"Monitor LED 24""",599.90,30
SSD 1TB SATA,349.90,80
HD Externo 2TB,399.90,60
Placa de Vídeo RTX 3060,1899.90,20
Processador Intel i5-12400F,799.90,40
Memória RAM 16GB DDR4,299.90,70
Placa-Mãe ATX B550,499.90,35
Fonte 650W 80 Plus Bronze,279.90,45
Gabinete ATX com Vidro Temperado,349.90,25
Headset Gamer 7.1,199.90,55
Mousepad Grande RGB,89.90,90
Webcam Full HD 1080p,149.90,65
Microfone USB Condensador,249.90,40
Cabo HDMI 2m,39.90,120
Adaptador USB-C para HDMI,79.90,85
Hub USB 3.0 4 Portas,69.90,75
Pendrive 64GB USB 3.0,49.90,150
Cartão MicroSD 128GB,89.90,100
Roteador Wi-Fi 6 1200Mbps,299.90,30
Switch 8 Portas Gigabit,159.90,50
Cabo Ethernet Cat6 5m,29.90,200
"Notebook 15.6"" i3 8GB 256GB SSD",2299.90,15
Desktop Gamer i7 16GB 1TB,3999.90,10
Impressora Jato de Tinta,499.90,25
Scanner de Mesa A4,399.90,20
No-Break 600VA,299.90,35
Estabilizador 300VA,99.90,60
Fone de Ouvido Bluetooth,129.90,80
Carregador USB-C 65W,89.90,90
Bateria Externa 10000mAh,79.90,100
Cabo USB-C 1m,19.90,150
Cabo Lightning 1m,29.90,120
Adaptador Wi-Fi USB,59.90,70
Placa de Rede Gigabit PCI-E,89.90,50
Cooler para Processador,99.90,60
Pasta Térmica 3g,19.90,200
"Case para HD Externo 2.5""",39.90,80
Suporte para Monitor Ajustável,129.90,40
Cadeira Gamer Ergonômica,799.90,20
Mesa para Computador 120cm,349.90,30
Filtro de Linha 6 Tomadas,69.90,100
Extensor de Tomadas USB,99.90,80
Mouse Sem Fio 2.4GHz,49.90,110
Teclado Sem Fio Bluetooth,99.90,90
Kit Teclado e Mouse Sem Fio,129.90,70
HD Interno 4TB 7200RPM,499.90,25
SSD NVMe 500GB,249.90,60
Memória RAM 8GB DDR4,159.90,80
Processador AMD Ryzen 5 5600X,999.90,30
Placa de Vídeo GTX 1650,1099.90,15
Gabinete Mini-ITX,249.90,35
Fonte 500W 80 Plus White,199.90,50
"Monitor 27"" 144Hz",999.90,20
Headset com Microfone USB,149.90,60
Mouse Gamer 12000 DPI,199.90,45
Teclado Mecânico Compacto,249.90,40
Roteador Mesh Wi-Fi,499.90,25
Pendrive 32GB USB 2.0,29.90,150
